SaleID,Product,Amount,Tax,Total,SaleDate
81,Tablet,1397.13,139.71300000000002,1536.843,2024-04-09
82,Tablet,692.21,69.221,761.431,2024-04-26
83,Headphones,316.72,31.672000000000004,348.39200000000005,2024-05-22
84,Phone,1456.19,145.619,1601.809,2024-03-16
85,Monitor,185.34,18.534000000000002,203.874,2024-05-28
86,Laptop,170.2,17.02,187.22,2024-03-21
87,Monitor,1387.14,138.71400000000003,1525.854,2024-05-02
88,Phone,179.63,17.963,197.593,2024-05-15
89,Laptop,1291.88,129.18800000000002,1421.0680000000002,2024-05-10
90,Monitor,195.15,19.515,214.66500000000002,2024-01-18
91,Headphones,267.84,26.784,294.62399999999997,2024-03-01
92,Phone,910.49,91.049,1001.539,2024-05-25
93,Monitor,214.78,21.478,236.258,2024-01-11
94,Monitor,831.9,83.19,915.0899999999999,2024-05-29
95,Phone,1037.62,103.762,1141.3819999999998,2024-03-07
96,Phone,471.86,47.18600000000001,519.046,2024-03-21
97,Tablet,740.11,74.01100000000001,814.121,2024-02-03
98,Laptop,741.6,74.16000000000001,815.76,2024-01-19
99,Laptop,202.57,20.257,222.827,2024-05-24
100,Monitor,471.28,47.128,518.408,2024-02-24
